Wall time,Step,Value
1738699637.2810028,4368,1.7783147096633911
1738699638.759452,4380,2.4831647872924805
1738699639.48956,4386,2.0462260246276855
1738699640.223926,4392,2.200282573699951
1738699641.5136938,4403,2.2132279872894287
1738699642.8892322,4415,2.1714258193969727
1738699643.6856709,4422,2.0584983825683594
1738699647.149077,4427,2.062249183654785
1738699647.3946178,4429,2.5737478733062744
1738699648.7526116,4440,1.8596762418746948
1738699650.2130766,4452,2.1588339805603027
1738699651.1860728,4460,1.9404507875442505
1738699651.309407,4461,2.012970447540283
1738699652.7533283,4473,2.2573184967041016
1738699653.2240489,4477,2.2495362758636475
1738699654.5183513,4488,1.6557481288909912
1738699680.7336965,4506,2.2290101051330566
1738699680.851308,4507,1.9481414556503296
1738699681.7029831,4514,2.02103328704834
1738699682.9201832,4524,2.484920024871826
1738699685.8679805,4548,2.050778388977051
1738699688.5414104,4571,2.417660713195801
1738699688.6572754,4572,2.14784836769104
1738699691.1670802,4575,1.9065254926681519
1738699692.304069,4579,2.1771023273468018
1738699692.6631129,4582,2.1411325931549072
1738699693.156992,4586,1.9353055953979492
1738699694.524891,4597,1.9792728424072266
1738699694.7678921,4599,2.1427104473114014
1738699696.730185,4615,2.0545849800109863
1738699698.2815049,4628,1.9391802549362183
1738699699.5728765,4639,2.016166925430298
1738699700.741385,4649,2.4476473331451416
1738699705.9929018,4669,2.3389222621917725
1738699708.3035908,4688,1.93475341796875
1738699709.7685566,4700,2.1128201484680176
1738699710.233041,4704,1.9201124906539917
1738699710.347959,4705,1.9343544244766235
1738699715.924342,4729,1.8753405809402466
1738699717.139916,4739,1.8794621229171753
1738699718.353866,4749,2.791851758956909
1738699718.8346863,4753,2.065983772277832
1738699719.218281,4756,2.0531153678894043
1738699719.341675,4757,2.0753445625305176
1738699719.5869231,4759,2.1353657245635986
1738699722.548673,4784,2.1947543621063232
1738699723.126436,4789,2.1238105297088623
1738699723.7054005,4794,2.3499467372894287
1738699727.8862567,4806,1.8690075874328613
1738699728.5101936,4811,2.5669808387756348
1738699731.936344,4839,1.9442938566207886
1738699732.177669,4841,2.4355647563934326
1738699732.672759,4845,2.1126790046691895
1738699733.1343222,4849,2.5011579990386963
1738699733.3656218,4851,2.084885835647583
1738699733.9423409,4856,1.9155676364898682
1738699734.7451382,4863,2.2283525466918945
1738699735.2030592,4867,2.1528327465057373
1738699735.8932257,4873,2.8627941608428955
1738699760.491898,4878,1.9540050029754639
1738699761.5867188,4887,2.1324329376220703
1738699762.8116083,4897,2.338225841522217
1738699764.86364,4914,2.068669319152832
1738699765.706856,4921,2.0668091773986816
1738699766.9697514,4932,1.9666987657546997
1738699767.4274151,4936,2.067990303039551
1738699772.1517787,4953,2.1061298847198486
1738699773.1458879,4961,1.9231892824172974
1738699773.5050359,4964,2.5653650760650635
1738699776.842815,4991,2.203575372695923
1738699778.1443698,5002,2.300659656524658
1738699778.4935012,5005,1.921877384185791
1738699778.957525,5009,2.2158546447753906
1738699779.7735763,5016,2.3331305980682373
1738699780.0055034,5018,2.0933449268341064
1738699780.1218457,5019,2.2874755859375
1738699785.0783222,5037,2.181241035461426
1738699787.5352545,5057,2.049576997756958
1738699787.659103,5058,1.8075380325317383
1738699788.2890484,5063,1.8667148351669312
1738699788.4116335,5064,2.7178051471710205
1738699791.1572251,5087,2.0612633228302
1738699792.3282309,5097,1.8755120038986206
1738699795.8091567,5103,2.286926746368408
1738699796.1867332,5106,2.2903077602386475
1738699796.7974062,5111,2.2525765895843506
1738699797.4084587,5116,2.3069489002227783
1738699797.7762146,5119,2.0129387378692627
1738699800.0939155,5138,2.096912145614624
1738699800.578261,5142,1.8556668758392334
1738699800.9527235,5145,2.054624557495117
1738699801.6463842,5151,2.810450315475464
1738699802.6993153,5160,1.7601420879364014
1738699803.1669133,5164,2.456441640853882
1738699804.222763,5173,2.0141243934631348
1738699804.3479238,5174,2.1090567111968994
1738699809.2232556,5191,1.701107144355774
1738699811.7974222,5212,2.090240955352783
1738699812.0412908,5214,2.2613449096679688
1738699812.1650798,5215,2.3214433193206787
